iteration LSE_100000_gamma_time LSE_100000_gamma_objective LSE_100000_gamma_hpwl LSE_100000_gamma_euclidean_norm LSE_1000_gamma_time LSE_1000_gamma_objective LSE_1000_gamma_hpwl LSE_1000_gamma_euclidean_norm LSE_10_gamma_time LSE_10_gamma_objective LSE_10_gamma_hpwl LSE_10_gamma_euclidean_norm WA_100000_gamma_time WA_100000_gamma_objective WA_100000_gamma_hpwl WA_100000_gamma_euclidean_norm WA_1000_gamma_time WA_1000_gamma_objective WA_1000_gamma_hpwl WA_1000_gamma_euclidean_norm WA_10_gamma_time WA_10_gamma_objective WA_10_gamma_hpwl WA_10_gamma_euclidean_norm
0 321.8 1765.81058 1755.5134699999999 1.4715966 300.7 1755.5145400000001 1755.5134699999999 1.5138874675000003 327.8 1755.5134699999999 1755.5134699999999 1.5143442850000002 295.4 1745.60682 1755.5134699999999 1.5294943475 301.0 1755.5124 1755.5134699999999 1.5144188925000002 317.0 1755.5134699999999 1755.5134699999999 1.5143609425
1 337.6 1753.9885100000001 1743.49098 1.482113435 320.4 1743.14206 1743.1401099999998 1.5242733925 344.2 1743.14109 1743.14109 1.52514245 315.4 1733.1028700000002 1743.14271 1.5386747875000002 319.8 1743.13956 1743.1413 1.5252428625 337.8 1743.14111 1743.14111 1.5251223625
2 353.8 1741.4572600000001 1730.70451 1.5181146675 339.79999999999995 1729.90167 1729.89869 1.55592255 360.70000000000005 1729.90136 1729.90136 1.557841005 335.4 1719.61635 1729.81983 1.5723038675 338.4 1729.8988599999998 1729.90142 1.5572586525 357.4 1729.9013800000002 1729.9013800000002 1.5578566025
3 369.8 1726.62405 1715.55501 1.5650275775 359.3 1714.20561 1714.20125 1.6001178675 377.6 1714.20894 1714.20894 1.601063795 354.8 1703.6267400000002 1714.02136 1.6161455125 357.0 1714.20236 1714.2057399999999 1.601716385 378.0 1714.20887 1714.20887 1.6010607175
4 385.6 1709.30558 1697.85907 1.5918241899999999 379.4 1695.93763 1695.9319500000001 1.6309151675 394.0 1695.93855 1695.93855 1.63354799 374.6 1684.9852799999999 1695.59655 1.64522705 375.6 1695.9355099999998 1695.93967 1.6327640674999997 398.4 1695.9387499999998 1695.9387499999998 1.6335702150000002
5 401.0 1689.49361 1677.5991 1.5697145624999997 399.2 1675.17724 1675.1700700000001 1.6023342775 409.8 1675.18495 1675.18495 1.6055140725000001 394.0 1663.7360800000001 1674.5846700000002 1.6102392599999997 394.0 1675.17834 1675.1833000000001 1.6060624874999998 418.0 1675.1852 1675.1852 1.6054612625
6 417.2 1666.96889 1654.5623500000002 1.6031821125 420.20000000000005 1651.5235899999998 1651.51519 1.5408756025 426.8 1651.53448 1651.53448 1.5476246025 415.3 1639.49611 1650.6020600000002 1.5589152725 414.1 1651.5266700000002 1651.53256 1.546752465 440.1 1651.53419 1651.53419 1.5477683325
7 432.8 1642.61168 1629.62363 1.6043048425 440.4 1628.26962 1628.25952 1.4598682125 442.9 1628.29531 1628.2953 1.4625290949999998 435.6 1615.71237 1627.07276 1.47479645 433.79999999999995 1628.28047 1628.28727 1.461051575 460.79999999999995 1628.29588 1628.29588 1.462497675
8 450.0 1615.82978 1602.1955600000001 1.5216025199999998 460.29999999999995 1604.79824 1604.78574 1.449468185 459.6 1604.80229 1604.80229 1.45902748 455.7 1591.64544 1603.2713800000001 1.46053105 453.70000000000005 1604.78711 1604.7947800000002 1.45770882 482.1 1604.8028 1604.8028 1.4591442200000002
9 467.5 1589.1612100000002 1574.8717499999998 1.3429390025 481.6 1581.1698500000002 1581.1559200000002 1.3836061975 477.4 1581.20414 1581.20414 1.3929940525 477.6 1567.40577 1579.31254 1.39158771 475.1 1581.1865699999998 1581.19526 1.391004325 504.9 1581.20501 1581.20501 1.393052765
