iteration NAG_constant_time_X NAG_constant_time_Y NAG_constant_objective_X NAG_constant_objective_Y NAG_constant_hpwl_X NAG_constant_hpwl_Y NAG_constant_euclidean_norm_X NAG_constant_euclidean_norm_Y NAG_scaled-by-sqrt_time_X NAG_scaled-by-sqrt_time_Y NAG_scaled-by-sqrt_objective_X NAG_scaled-by-sqrt_objective_Y NAG_scaled-by-sqrt_hpwl_X NAG_scaled-by-sqrt_hpwl_Y NAG_scaled-by-sqrt_euclidean_norm_X NAG_scaled-by-sqrt_euclidean_norm_Y NAG_observed-lipschitz_time_X NAG_observed-lipschitz_time_Y NAG_observed-lipschitz_objective_X NAG_observed-lipschitz_objective_Y NAG_observed-lipschitz_hpwl_X NAG_observed-lipschitz_hpwl_Y NAG_observed-lipschitz_euclidean_norm_X NAG_observed-lipschitz_euclidean_norm_Y NAG_min-observed-lipschitz_time_X NAG_min-observed-lipschitz_time_Y NAG_min-observed-lipschitz_objective_X NAG_min-observed-lipschitz_objective_Y NAG_min-observed-lipschitz_hpwl_X NAG_min-observed-lipschitz_hpwl_Y NAG_min-observed-lipschitz_euclidean_norm_X NAG_min-observed-lipschitz_euclidean_norm_Y NAG_barzilai-borwein_time_X NAG_barzilai-borwein_time_Y NAG_barzilai-borwein_objective_X NAG_barzilai-borwein_objective_Y NAG_barzilai-borwein_hpwl_X NAG_barzilai-borwein_hpwl_Y NAG_barzilai-borwein_euclidean_norm_X NAG_barzilai-borwein_euclidean_norm_Y NAG_backtracking-line-search_time_X NAG_backtracking-line-search_time_Y NAG_backtracking-line-search_objective_X NAG_backtracking-line-search_objective_Y NAG_backtracking-line-search_hpwl_X NAG_backtracking-line-search_hpwl_Y NAG_backtracking-line-search_euclidean_norm_X NAG_backtracking-line-search_euclidean_norm_Y GD_constant_time_X GD_constant_time_Y GD_constant_objective_X GD_constant_objective_Y GD_constant_hpwl_X GD_constant_hpwl_Y GD_constant_euclidean_norm_X GD_constant_euclidean_norm_Y GD_scaled-by-sqrt_time_X GD_scaled-by-sqrt_time_Y GD_scaled-by-sqrt_objective_X GD_scaled-by-sqrt_objective_Y GD_scaled-by-sqrt_hpwl_X GD_scaled-by-sqrt_hpwl_Y GD_scaled-by-sqrt_euclidean_norm_X GD_scaled-by-sqrt_euclidean_norm_Y GD_observed-lipschitz_time_X GD_observed-lipschitz_time_Y GD_observed-lipschitz_objective_X GD_observed-lipschitz_objective_Y GD_observed-lipschitz_hpwl_X GD_observed-lipschitz_hpwl_Y GD_observed-lipschitz_euclidean_norm_X GD_observed-lipschitz_euclidean_norm_Y GD_min-observed-lipschitz_time_X GD_min-observed-lipschitz_time_Y GD_min-observed-lipschitz_objective_X GD_min-observed-lipschitz_objective_Y GD_min-observed-lipschitz_hpwl_X GD_min-observed-lipschitz_hpwl_Y GD_min-observed-lipschitz_euclidean_norm_X GD_min-observed-lipschitz_euclidean_norm_Y GD_barzilai-borwein_time_X GD_barzilai-borwein_time_Y GD_barzilai-borwein_objective_X GD_barzilai-borwein_objective_Y GD_barzilai-borwein_hpwl_X GD_barzilai-borwein_hpwl_Y GD_barzilai-borwein_euclidean_norm_X GD_barzilai-borwein_euclidean_norm_Y GD_backtracking-line-search_time_X GD_backtracking-line-search_time_Y GD_backtracking-line-search_objective_X GD_backtracking-line-search_objective_Y GD_backtracking-line-search_hpwl_X GD_backtracking-line-search_hpwl_Y GD_backtracking-line-search_euclidean_norm_X GD_backtracking-line-search_euclidean_norm_Y
0 17.69999999999999 9.699999999999989 2.7822 1.84418 3.25184 2.09414 0.04298661 0.10503258750000001 19.19999999999999 10.599999999999994 2.7822 1.84418 3.25184 2.09414 0.04298661 0.10503258750000001 18.80000000000001 10.300000000000011 2.7822 1.84418 3.25184 2.09414 0.04298661 0.10503258750000001 19.899999999999977 11.099999999999994 2.7822 1.84418 3.25184 2.09414 0.04298661 0.10503258750000001 18.299999999999983 10.099999999999994 2.7822 1.84418 3.25184 2.09414 0.04298661 0.10503258750000001 19.0 10.400000000000006 2.7822 1.84418 3.25184 2.09414 0.04298661 0.10503258750000001 17.5 9.5 2.7822 1.84418 3.25184 2.09414 0.0900805 0.0434498325 18.299999999999983 9.900000000000006 2.7822 1.84418 3.25184 2.09414 0.0900805 0.0434498325 17.599999999999994 9.599999999999994 2.7822 1.84418 3.25184 2.09414 0.0900805 0.0434498325 18.399999999999977 10.0 2.7822 1.84418 3.25184 2.09414 0.0900805 0.0434498325 18.100000000000023 10.0 2.7822 1.84418 3.25184 2.09414 0.0900805 0.0434498325 19.900000000000006 11.300000000000011 2.7822 1.84418 3.25184 2.09414 0.0900805 0.0434498325
1 24.0 16.099999999999994 2.78016 1.83301 3.24871 2.09506 0.03222418 0.968647215 26.0 17.5 2.78016 1.83301 3.24871 2.09506 0.033639982500000006 0.74980629 25.5 17.0 2.78016 1.83301 3.24871 2.09506 0.032255347499999996 0.3824078775 26.899999999999977 18.19999999999999 2.78016 1.83301 3.24871 2.09506 0.03222418 0.3824078775 25.0 16.799999999999983 2.78016 1.83301 3.24871 2.09506 0.032050379999999996 0.055766965 29.099999999999994 27.400000000000006 2.78016 1.83301 3.24871 2.09506 0.03222418 0.066321145 22.0 14.0 2.78016 1.83301 3.24871 2.09506 0.04298661 0.10503258750000001 22.900000000000006 14.599999999999994 2.78016 1.83301 3.24871 2.09506 0.04298661 0.10503258750000001 22.099999999999994 14.199999999999989 2.78016 1.83301 3.24871 2.09506 0.04298661 0.10503258750000001 23.099999999999994 14.799999999999983 2.78016 1.83301 3.24871 2.09506 0.04298661 0.10503258750000001 22.700000000000017 14.900000000000006 2.78016 1.83301 3.24871 2.09506 0.04298661 0.10503258750000001 28.200000000000017 26.700000000000017 2.78016 1.83301 3.24871 2.09506 0.04298661 0.10503258750000001
2 30.400000000000006 22.5 2.7793 2.40313 3.24614 2.63491 0.0250246575 1.0971638000000001 33.099999999999994 24.399999999999977 2.77945 2.09844 3.24693 2.34384 0.0278258 1.107284845 32.400000000000006 24.0 2.7793 1.88503 3.24612 2.14508 0.026094390000000002 0.1125603675 34.099999999999994 25.299999999999983 2.7793 1.88503 3.24614 2.14508 0.0250246575 0.1125603675 31.899999999999977 23.399999999999977 2.77935 1.82265 3.24643 2.09108 0.0253935975 0.0393167475 39.400000000000006 37.69999999999999 2.7793 1.82453 3.24614 2.09186 0.0250246575 0.045249035 26.599999999999994 18.599999999999994 2.77945 2.1667 3.2467 2.40807 0.03330618 0.815732665 27.599999999999994 19.400000000000006 2.77963 1.98115 3.24728 2.23398 0.035327399999999995 0.584071695 26.599999999999994 18.799999999999983 2.77945 1.86044 3.24669 2.12129 0.03327552 0.28941781250000004 27.899999999999977 19.599999999999994 2.77945 1.86044 3.2467 2.12129 0.03330618 0.28941781250000004 27.700000000000017 19.600000000000023 2.77952 1.82656 3.24692 2.09111 0.0339643825 0.0491286525 36.70000000000002 35.30000000000001 2.77945 1.82806 3.2467 2.09138 0.03330618 0.0565469675
3 36.80000000000001 28.900000000000006 2.77868 8.6973 3.24469 8.79338 0.0216878675 0.956444945 39.79999999999998 31.399999999999977 2.77898 5.89534 3.24549 6.01855 0.0243402025 1.094755215 39.19999999999999 30.69999999999999 2.7786 1.81849 3.24458 2.09558 0.032440885 0.051435585000000006 41.099999999999994 32.39999999999998 2.77868 1.81849 3.24469 2.09558 0.0216878675 0.051435585000000006 38.69999999999999 30.299999999999983 2.77873 1.81779 3.24481 2.08922 0.0219594975 0.03835703 49.599999999999994 47.900000000000006 2.77868 1.81994 3.24469 2.08977 0.0216878675 0.0397843975 31.30000000000001 23.099999999999994 2.77899 7.74329 3.24557 7.84552 0.0282467525 1.1066588925 32.29999999999998 24.0 2.77932 4.08361 3.24648 4.23001 0.0319337725 1.0781258025 31.19999999999999 23.299999999999983 2.77856 1.82201 3.2443 2.09176 0.02399371 0.066090455 32.599999999999994 24.299999999999983 2.77899 1.82201 3.24557 2.09176 0.0282467525 0.066090455 32.400000000000006 24.30000000000001 2.77885 1.82465 3.24514 2.09009 0.0265876425 0.039602559999999995 45.0 43.60000000000002 2.77899 1.82638 3.24557 2.09049 0.0282467525 0.0443209125
4 43.099999999999994 35.30000000000001 2.7782 2.58722 3.24308 2.8111 0.020713765 1.0970187900000001 46.599999999999994 38.19999999999999 2.77862 4.01155 3.24441 4.15628 0.022283075 1.0293134849999999 45.80000000000001 37.5 2.77803 1.8091 3.24197 2.08989 0.0404630675 0.044905115 48.099999999999994 39.39999999999998 2.7782 1.8091 3.24308 2.08989 0.020713765 0.044905115 45.39999999999998 37.099999999999994 2.77807 1.81433 3.24265 2.08865 0.02375503 0.038041955 59.79999999999998 58.30000000000001 2.7782 1.817 3.24308 2.08894 0.020713765 0.038309705 35.80000000000001 27.80000000000001 2.77866 6.58338 3.2446 6.68246 0.025097475 1.094923755 37.0 28.900000000000006 2.7791 4.23628 3.24588 4.37165 0.029601444999999997 1.1413605475 35.79999999999998 27.899999999999977 2.7777 1.8193 3.2411 2.08969 0.029512997500000002 0.040167355 37.29999999999998 29.19999999999999 2.77866 1.8193 3.2446 2.08969 0.025097475 0.040167355 37.0 29.200000000000017 2.77789 1.82317 3.24201 2.08979 0.0208962625 0.03903624 53.400000000000006 51.900000000000006 2.77866 1.82524 3.2446 2.09012 0.025097475 0.04095915
5 49.599999999999994 41.599999999999994 2.77777 8.37644 3.24201 8.48686 0.02058294 0.7496946375 53.5 45.0 2.77833 4.29901 3.24352 4.45679 0.0212167325 1.0917572025 52.599999999999994 44.19999999999999 2.77753 1.805 3.24233 2.08802 0.027252487500000002 0.054530535 55.29999999999998 46.39999999999998 2.77777 1.805 3.24201 2.08802 0.02058294 0.0476830225 52.099999999999994 43.79999999999998 2.77743 1.81108 3.24157 2.08811 0.0206163225 0.0376001 69.9 68.5 2.77777 1.81451 3.24201 2.08855 0.02058294 0.0380206125 40.30000000000001 32.400000000000006 2.77839 7.74829 3.24384 7.8468 0.023190255 1.1030313375 41.599999999999994 33.599999999999994 2.77893 3.87044 3.24541 4.02135 0.0278932 1.1249326425 40.29999999999998 32.5 2.77785 1.81756 3.24484 2.08913 0.0730412825 0.038859032499999994 42.0 33.89999999999998 2.77839 1.81786 3.24384 2.08913 0.023190255 0.0387913825 41.60000000000002 33.900000000000006 2.77721 1.82096 3.24125 2.08947 0.022652139999999998 0.0387487275 61.900000000000006 60.20000000000002 2.77839 1.82424 3.24384 2.08992 0.023190255 0.03976634
6 55.900000000000006 48.0 2.77732 2.5029 3.24103 2.74592 0.0205059625 1.0922164525 60.19999999999999 52.0 2.77808 4.23628 3.24278 4.38785 0.0207613925 1.03971462 59.400000000000006 50.900000000000006 2.77679 1.80157 3.23962 2.08808 0.022490025 0.065712905 62.29999999999998 53.79999999999998 2.77732 1.80151 3.24103 2.08748 0.0205059625 0.052121115 58.79999999999998 50.69999999999999 2.77683 1.80793 3.24013 2.08747 0.020522772499999998 0.037244255000000004 80.19999999999999 78.69999999999999 2.77732 1.81208 3.24103 2.08819 0.0205059625 0.037819535 44.80000000000001 36.900000000000006 2.77815 6.53668 3.24319 6.63603 0.02206824 1.0980530925 46.29999999999998 38.29999999999998 2.77879 3.59991 3.24503 3.75696 0.02659791 1.09397383 44.79999999999998 37.099999999999994 2.77687 1.81255 3.2399 2.08903 0.034794942499999995 0.0456034875 46.69999999999999 38.599999999999994 2.77815 1.81649 3.24319 2.08875 0.02206824 0.038391797500000005 46.30000000000001 38.5 2.77702 1.81739 3.24069 2.08894 0.020463527500000002 0.0385867525 70.20000000000002 68.4 2.77815 1.82329 3.24319 2.08976 0.02206824 0.039249155
7 62.30000000000001 54.400000000000006 2.77682 7.89111 3.24022 8.01041 0.020322687500000002 0.6410960575 67.1 58.79999999999998 2.77785 2.82193 3.24218 3.03764 0.020614934999999997 0.8609121474999999 66.1 57.80000000000001 2.77617 1.79813 3.23943 2.0883 0.022963472500000002 0.0569940325 69.29999999999998 60.79999999999998 2.77682 1.79799 3.24022 2.08729 0.020322687500000002 0.0588796875 65.39999999999998 57.39999999999998 2.77628 1.80474 3.2393 2.08688 0.0202743825 0.03695171 90.29999999999998 88.9 2.77682 1.80956 3.24022 2.08774 0.020322687500000002 0.0374931275 49.5 41.400000000000006 2.77794 7.8219 3.24265 7.92019 0.021414315 1.1024359 51.0 42.900000000000006 2.77868 3.35637 3.2447 3.52575 0.0255915675 1.136323305 49.5 41.599999999999994 2.77656 1.81385 3.24005 2.09813 0.0203244025 0.16125393500000001 51.5 43.29999999999998 2.77794 1.81514 3.24265 2.08847 0.021414315 0.03820175 51.10000000000002 43.10000000000002 2.77686 1.81486 3.24049 2.08868 0.020373032500000002 0.038907119999999996 78.30000000000001 76.80000000000001 2.77794 1.82236 3.24265 2.08961 0.021414315 0.038985595000000005
8 68.80000000000001 60.80000000000001 2.77628 2.2583 3.23942 2.52786 0.02009614 1.0941712749999999 73.89999999999998 65.6 2.77762 2.36412 3.24165 2.61327 0.0205862425 0.8301291 72.9 64.5 2.77556 1.79402 3.23824 2.08704 0.0309524425 0.0478988125 76.39999999999998 67.69999999999999 2.77628 1.79441 3.23942 2.08721 0.02009614 0.0569036 72.29999999999998 64.0 2.77572 1.80132 3.23865 2.08627 0.01982628 0.036708725000000005 100.6 99.19999999999999 2.77628 1.8069 3.23942 2.08724 0.02009614 0.037164562500000005 54.099999999999994 46.0 2.77773 6.58384 3.2422 6.68441 0.0210280075 1.09342689 55.69999999999999 47.599999999999994 2.77857 3.47564 3.24442 3.63424 0.0247949875 1.1402416175 54.0 46.19999999999999 2.77637 1.8096 3.23973 2.09514 0.0202324925 0.13462717000000002 56.19999999999999 48.19999999999999 2.77773 1.81381 3.2422 2.0882 0.0210280075 0.03806306 55.80000000000001 47.70000000000002 2.77663 1.81382 3.24013 2.08823 0.02030536 0.0380889675 86.5 85.10000000000002 2.77773 1.82145 3.2422 2.08947 0.0210280075 0.0388250525
9 75.19999999999999 67.19999999999999 2.7757 7.69167 3.23877 7.81519 0.01989003 0.5526078275 80.69999999999999 72.5 2.77739 2.48111 3.24118 2.72409 0.020576002500000003 0.9464839275000001 79.6 71.19999999999999 2.7749 1.78999 3.23849 2.08577 0.04443283 0.04776836 83.39999999999998 74.89999999999998 2.7757 1.79048 3.23877 2.0865 0.01989003 0.05179558 79.0 70.89999999999998 2.77453 1.79749 3.23754 2.08567 0.024404552500000003 0.036407555 110.79999999999998 109.4 2.7757 1.80409 3.23877 2.08672 0.01989003 0.036880337500000006 58.69999999999999 50.69999999999999 2.77754 7.70868 3.24179 7.8083 0.020790965 1.0981015775 60.400000000000006 52.29999999999998 2.77848 3.11443 3.24417 3.29314 0.0241548475 1.1238872275 58.5 50.89999999999998 2.77406 1.80359 3.23701 2.08676 0.0201759225 0.0376676875 60.79999999999998 52.89999999999998 2.77754 1.81248 3.24179 2.08797 0.020790965 0.037938242500000004 60.60000000000002 52.5 2.76541 1.81293 3.22946 2.08803 0.01813941 0.037976937499999995 95.20000000000002 93.60000000000002 2.77754 1.82053 3.24179 2.08932 0.020790965 0.038707735
