iteration NAG_barzilai-borwein_time_X NAG_barzilai-borwein_time_Y NAG_barzilai-borwein_objective_X NAG_barzilai-borwein_objective_Y NAG_barzilai-borwein_hpwl_X NAG_barzilai-borwein_hpwl_Y NAG_barzilai-borwein_euclidean_norm_X NAG_barzilai-borwein_euclidean_norm_Y
0 7.699999999999996 2.0999999999999943 3.51641 1.07781 3.76857 1.12227 0.0284433 0.0162218125
1 10.299999999999997 4.599999999999994 3.50509 1.04362 3.73993 1.13582 0.01987854 0.1875831075
2 13.099999999999994 7.099999999999994 3.5036 1.09852 3.73646 1.25462 0.0198281725 0.035766957499999995
3 15.899999999999991 9.5 3.50207 0.99968 3.73626 1.17798 0.019329105 0.0978553175
4 18.700000000000003 12.200000000000003 3.5004 1.00381 3.736 1.20071 0.019004795 0.0139347125
5 21.39999999999999 14.700000000000003 3.49844 0.98865 3.73591 1.18725 0.0186106875 0.0148407725
6 24.099999999999994 17.299999999999997 3.49546 0.9861 3.73609 1.19092 0.019500464999999998 0.0102383325
7 26.599999999999994 19.89999999999999 3.49156 0.98402 3.73695 1.19248 0.01775516 0.0100872475
8 29.39999999999999 22.599999999999994 3.48797 0.98242 3.7373 1.19448 0.01678477 0.009984835000000001
9 32.099999999999994 25.200000000000003 3.48478 0.98102 3.73813 1.19617 0.0163137775 0.009959257499999999
10 34.7 27.799999999999997 3.4818 0.97893 3.73886 1.1985 0.01593396 0.012838464999999999
11 37.39999999999999 30.5 3.47855 0.97675 3.73976 1.20145 0.0168751325 0.009679955
12 40.0 33.2 3.47482 0.97476 3.74095 1.20324 0.01553208 0.009345905
13 42.7 35.8 3.47131 0.97306 3.74191 1.20532 0.0145798575 0.009207917500000001
14 45.39999999999999 38.5 3.46811 0.97152 3.74281 1.20732 0.014081607500000001 0.009119265
15 48.0 41.0 3.46516 0.97 3.74378 1.20944 0.013757135 0.00946071
16 50.7 43.7 3.46234 0.96833 3.74496 1.2119 0.0136174175 0.00902839
17 53.5 46.2 3.45952 0.96675 3.74636 1.21409 0.0133988525 0.0087758375
18 56.099999999999994 48.8 3.45675 0.96526 3.74774 1.21617 0.0129008475 0.008677955000000001
19 58.7 51.5 3.45408 0.96385 3.7491 1.21823 0.0125771975 0.008619284999999999
20 61.39999999999999 54.099999999999994 3.45152 0.96241 3.75053 1.22031 0.012360585 0.0087743375
21 64.0 56.7 3.44899 0.9609 3.75201 1.22258 0.01225952 0.008488260000000001
