iteration LSE_random_100000_gamma_time LSE_random_100000_gamma_objective LSE_random_100000_gamma_hpwl LSE_random_100000_gamma_euclidean_norm LSE_center_100000_gamma_time LSE_center_100000_gamma_objective LSE_center_100000_gamma_hpwl LSE_center_100000_gamma_euclidean_norm LSE_qp_100000_gamma_time LSE_qp_100000_gamma_objective LSE_qp_100000_gamma_hpwl LSE_qp_100000_gamma_euclidean_norm LSE_hpwl_100000_gamma_time LSE_hpwl_100000_gamma_objective LSE_hpwl_100000_gamma_hpwl LSE_hpwl_100000_gamma_euclidean_norm WA_random_100000_gamma_time WA_random_100000_gamma_objective WA_random_100000_gamma_hpwl WA_random_100000_gamma_euclidean_norm WA_center_100000_gamma_time WA_center_100000_gamma_objective WA_center_100000_gamma_hpwl WA_center_100000_gamma_euclidean_norm WA_qp_100000_gamma_time WA_qp_100000_gamma_objective WA_qp_100000_gamma_hpwl WA_qp_100000_gamma_euclidean_norm WA_hpwl_100000_gamma_time WA_hpwl_100000_gamma_objective WA_hpwl_100000_gamma_hpwl WA_hpwl_100000_gamma_euclidean_norm
0 345.4 1765.81058 1755.5134699999999 1.71376648 315.1 180.3442 5.34598 0.0920653525 369.20000000000005 178.51663 8.69737 0.0274233825 30386.6 179.50862999999998 4.01977 0.12109247999999999 305.2 1745.60682 1755.5134699999999 1.7761368775000002 318.8 4.62638 5.34598 0.17950824 386.0 3.7229 8.69737 0.053313212500000005 31965.4 3.64245 4.01977 0.1397870725
1 365.2 1753.13821 1742.5909 1.330156035 339.6 180.33514000000002 5.34262 0.0650652375 389.0 178.5162 8.685740000000001 0.0243077875 30415.2 179.50162999999998 4.12311 0.052972355 327.0 1732.13183 1742.20107 1.3899235225 345.4 4.61302 5.34664 0.0993867425 404.8 3.72192 8.683910000000001 0.0506930625 32001.5 3.6398200000000003 4.07837 0.058188807499999995
2 382.2 1741.1666 1730.41453 1.287742825 357.5 180.32994000000002 5.34011 0.05203829 407.0 178.5158 8.68957 0.02390464 30432.7 179.4961 4.06124 0.04051427 345.4 1719.31419 1729.5169799999999 1.3485441974999999 365.1 4.59921 5.339180000000001 0.074681495 423.2 3.72114 8.68726 0.049416825000000004 32025.5 3.6367599999999998 4.0404599999999995 0.04764248
3 399.0 1730.73407 1719.76754 1.289800735 375.9 180.32693 5.337759999999999 0.04847156 424.2 178.51537 8.68338 0.023973547499999998 30449.9 179.49398 4.04591 0.03984272 363.4 1708.08547 1718.41826 1.344681705 384.6 4.5933399999999995 5.33526 0.064442775 441.6 3.72028 8.68045 0.04973476 32049.4 3.6356 4.034190000000001 0.047066905000000006
4 416.0 1719.2925 1708.08653 1.2872170900000002 394.0 180.3247 5.335839999999999 0.04650552 442.2 178.5149 8.68645 0.024361632499999997 30466.7 179.49246 4.04461 0.03906255 381.4 1695.76521 1706.24184 1.34300993 404.4 4.5893999999999995 5.3329699999999995 0.060468230000000005 461.79999999999995 3.71934 8.6834 0.0453024325 32073.9 3.6346499999999997 4.03368 0.0464621025
5 433.29999999999995 1706.44407 1694.9608600000001 1.2825760025 412.29999999999995 180.32263 5.334210000000001 0.045478239999999996 460.6 178.51436999999999 8.67998 0.0220999125 30483.8 179.49104 4.04607 0.0385988925 399.8 1681.95428 1692.58952 1.3377696000000001 424.0 4.58605 5.33136 0.05864896 480.79999999999995 3.71842 8.68032 0.0434963875 32098.3 3.6337099999999998 4.03486 0.046095502499999996
6 450.6 1692.1515 1680.35042 1.2800072500000002 430.79999999999995 180.3206 5.33287 0.045078095 478.29999999999995 178.51385 8.67935 0.02107758 30500.699999999997 179.48964 4.04757 0.03832246499999999 417.8 1666.59926 1677.4044199999998 1.335956235 443.8 4.58277 5.32979 0.05770437 499.9 3.71753 8.67737 0.0432936125 32122.8 3.63272 4.03598 0.045853319999999996
7 468.5 1676.4287199999999 1664.2730999999999 1.275459365 449.4 180.31849 5.33176 0.0448712 495.8 178.51336 8.679079999999999 0.0207803175 30518.1 179.48818 4.04887 0.038108102500000005 436.2 1649.73322 1660.7211 1.3295052925 463.5 4.5793800000000005 5.32837 0.057247985 519.0 3.71664 8.675419999999999 0.043028707500000006 32147.3 3.63169 4.03703 0.0456376
8 486.0 1659.27973 1646.72761 1.2722014775 467.5 180.31627 5.3308599999999995 0.04465445 513.4000000000001 178.51288 8.67795 0.020450457499999998 30534.9 179.48665 4.05023 0.037906285 454.2 1631.3552300000001 1642.5406400000002 1.3260302474999999 483.2 4.57583 5.32699 0.056930345 538.3 3.7157 8.6738 0.0427356775 32171.3 3.6305899999999998 4.038130000000001 0.04541583749999999
9 503.4 1640.74843 1627.75938 1.266735935 485.4 180.31391 5.3299900000000004 0.0443862625 529.6 178.51238999999998 8.676359999999999 0.020116099999999998 30552.1 179.48504 4.05183 0.037696942500000004 472.6 1611.53742 1622.93371 1.3189972950000002 503.0 4.572100000000001 5.325710000000001 0.05654274 557.5 3.71471 8.67213 0.04241601749999999 32195.4 3.62941 4.03937 0.045179054999999996
