iteration LSE_center_100000_gamma_time LSE_center_100000_gamma_objective LSE_center_100000_gamma_hpwl LSE_center_100000_gamma_euclidean_norm WA_center_100000_gamma_time WA_center_100000_gamma_objective WA_center_100000_gamma_hpwl WA_center_100000_gamma_euclidean_norm LSE_center_1000_gamma_time LSE_center_1000_gamma_objective LSE_center_1000_gamma_hpwl LSE_center_1000_gamma_euclidean_norm WA_center_1000_gamma_time WA_center_1000_gamma_objective WA_center_1000_gamma_hpwl WA_center_1000_gamma_euclidean_norm
0 315.1 180.3442 5.34598 0.0920653525 318.8 4.62638 5.34598 0.17950824 310.9 6.83834 5.34598 0.215332595 333.8 5.18159 5.34598 0.27284752500000004
1 339.6 180.33514 5.34262 0.0650652375 345.4 4.61302 5.34664 0.0993867425 334.3 6.82996 5.32884 0.19944949 363.6 5.16977 5.32208 0.26818451750000005
2 357.5 180.32994 5.34011 0.05203829 365.1 4.59921 5.33918 0.074681495 353.2 6.82441 5.32062 0.20536093500000002 388.1 5.16168 5.3164 0.26052887750000003
3 375.9 180.32693 5.33776 0.04847156 384.6 4.59334 5.33526 0.064442775 372.3 6.81929 5.31439 0.213063015 409 5.15626 5.31259 0.2722070425
4 394 180.3247 5.33584 0.046505519999999995 404.4 4.5894 5.33297 0.06046823 389.2 6.81515 5.30963 0.1929939075 430.2 5.1519 5.30908 0.24350853
5 412.3 180.32263 5.33421 0.045478239999999996 424 4.58605 5.33136 0.05864896 407 6.81169 5.30576 0.1803581425 451.2 5.14678 5.30453 0.2364333425
6 430.8 180.3206 5.33287 0.045078095 443.8 4.58277 5.32979 0.05770437 424.6 6.80899 5.30289 0.178289585 472.2 5.14293 5.30103 0.22877100250000001
7 449.4 180.31849 5.33176 0.0448712 463.5 4.57938 5.32837 0.057247985 441.8 6.80645 5.30031 0.17556622 493.2 5.13914 5.29747 0.2251963075
8 467.5 180.31627 5.33086 0.04465445 483.2 4.57583 5.32699 0.056930345 459.6 6.80389 5.29781 0.1737174575 516.1 5.13543 5.29395 0.1996058175
9 485.4 180.31391 5.32999 0.0443862625 503 4.5721 5.32571 0.05654274 477 6.80135 5.2954 0.169852935 537.1 5.13213 5.29069 0.1839502125
