iteration NAG_constant_time NAG_constant_objective NAG_constant_hpwl NAG_constant_euclidean_norm NAG_scaled-by-sqrt_time NAG_scaled-by-sqrt_objective NAG_scaled-by-sqrt_hpwl NAG_scaled-by-sqrt_euclidean_norm NAG_observed-lipschitz_time NAG_observed-lipschitz_objective NAG_observed-lipschitz_hpwl NAG_observed-lipschitz_euclidean_norm NAG_min-observed-lipschitz_time NAG_min-observed-lipschitz_objective NAG_min-observed-lipschitz_hpwl NAG_min-observed-lipschitz_euclidean_norm NAG_barzilai-borwein_time NAG_barzilai-borwein_objective NAG_barzilai-borwein_hpwl NAG_barzilai-borwein_euclidean_norm NAG_backtracking-line-search_time NAG_backtracking-line-search_objective NAG_backtracking-line-search_hpwl NAG_backtracking-line-search_euclidean_norm GD_constant_time GD_constant_objective GD_constant_hpwl GD_constant_euclidean_norm GD_scaled-by-sqrt_time GD_scaled-by-sqrt_objective GD_scaled-by-sqrt_hpwl GD_scaled-by-sqrt_euclidean_norm GD_observed-lipschitz_time GD_observed-lipschitz_objective GD_observed-lipschitz_hpwl GD_observed-lipschitz_euclidean_norm GD_min-observed-lipschitz_time GD_min-observed-lipschitz_objective GD_min-observed-lipschitz_hpwl GD_min-observed-lipschitz_euclidean_norm GD_barzilai-borwein_time GD_barzilai-borwein_objective GD_barzilai-borwein_hpwl GD_barzilai-borwein_euclidean_norm GD_backtracking-line-search_time GD_backtracking-line-search_objective GD_backtracking-line-search_hpwl GD_backtracking-line-search_euclidean_norm
0 27.399999999999977 4.62638 5.34598 0.1480191975 29.799999999999983 4.62638 5.34598 0.1480191975 29.100000000000023 4.62638 5.34598 0.1480191975 30.99999999999997 4.62638 5.34598 0.1480191975 28.399999999999977 4.62638 5.34598 0.1480191975 29.400000000000006 4.62638 5.34598 0.1480191975 27.0 4.62638 5.34598 0.1335303325 28.19999999999999 4.62638 5.34598 0.1335303325 27.19999999999999 4.62638 5.34598 0.1335303325 28.399999999999977 4.62638 5.34598 0.1335303325 28.100000000000023 4.62638 5.34598 0.1335303325 31.200000000000017 4.62638 5.34598 0.1335303325
1 40.099999999999994 4.61317 5.34377 1.0008713949999999 43.5 4.61317 5.34377 0.7834462725 42.5 4.61317 5.34377 0.41466322499999997 45.099999999999966 4.61317 5.34377 0.4146320575 41.79999999999998 4.61317 5.34377 0.08781734499999999 56.5 4.61317 5.34377 0.09854532499999999 36.0 4.61317 5.34377 0.1480191975 37.5 4.61317 5.34377 0.1480191975 36.29999999999998 4.61317 5.34377 0.1480191975 37.89999999999998 4.61317 5.34377 0.1480191975 37.60000000000002 4.61317 5.34377 0.1480191975 54.900000000000034 4.61317 5.34377 0.1480191975
2 52.900000000000006 5.18243 5.88105 1.1221884575 57.49999999999997 4.877890000000001 5.59077 1.135110645 56.400000000000006 4.66433 5.3911999999999995 0.1386547575 59.39999999999998 4.66433 5.391220000000001 0.137585025 55.299999999999955 4.602 5.33751 0.064710345 77.1 4.60383 5.338 0.0702736925 45.19999999999999 4.94615 5.65477 0.8490388449999999 47.0 4.7607800000000005 5.48126 0.619399095 45.39999999999998 4.63989 5.36798 0.32269333250000004 47.49999999999997 4.63989 5.367990000000001 0.32272399250000006 47.30000000000004 4.60608 5.33803 0.08309303500000001 72.00000000000003 4.60751 5.33808 0.08985314750000001
3 65.70000000000002 11.47598 12.038070000000001 0.9781328125 71.19999999999996 8.67432 9.264040000000001 1.1190954174999999 69.89999999999998 4.59709 5.34016 0.08387647000000001 73.49999999999997 4.59717 5.34027 0.0731234525 68.99999999999997 4.59652 5.33403 0.0603165275 97.5 4.59862 5.33446 0.061472265 54.400000000000006 10.52228 11.09109 1.1349056450000001 56.29999999999998 6.86293 7.47649 1.110059575 54.49999999999997 4.60057 5.33606 0.09008416500000001 56.89999999999998 4.601 5.33733 0.0943372075 56.70000000000002 4.6035 5.33523 0.06619020249999999 88.60000000000002 4.60537 5.33606 0.072567665
4 78.4 5.36542 6.054180000000001 1.1177325550000001 84.79999999999998 6.79017 7.400689999999999 1.05159656 83.30000000000001 4.58713 5.33186 0.0853681825 87.49999999999997 4.5873 5.3329699999999995 0.06561888 82.49999999999997 4.5924 5.3313 0.061796985 118.1 4.5952 5.33202 0.059023469999999995 63.60000000000002 9.36204 9.92706 1.1200212299999999 65.9 7.01538 7.61753 1.1709619924999999 63.69999999999996 4.5969999999999995 5.33079 0.0696803525 66.49999999999997 4.59796 5.33429 0.06526483 66.20000000000002 4.60106 5.331799999999999 0.0599325025 105.30000000000001 4.603899999999999 5.334720000000001 0.06605662500000001
5 91.19999999999999 11.15421 11.72887 0.7702775775 98.5 7.0773399999999995 7.70031 1.1129739349999999 96.79999999999998 4.58253 5.33035 0.0817830225 101.69999999999996 4.58277 5.330030000000001 0.0682659625 95.89999999999998 4.588509999999999 5.32968 0.0582164225 138.4 4.59228 5.33056 0.0586035525 72.70000000000002 10.526679999999999 11.09064 1.1262215925 75.19999999999999 6.649369999999999 7.26676 1.1528258425 72.79999999999998 4.59541 5.33397 0.111900315 75.89999999999998 4.5962499999999995 5.3329699999999995 0.0619816375 75.50000000000003 4.59817 5.3307199999999995 0.0614008675 122.10000000000002 4.6026299999999996 5.33376 0.062956595
6 103.9 5.28022 5.98695 1.112722415 112.19999999999999 7.01436 7.63063 1.0604760125000001 110.30000000000001 4.57836 5.3277 0.08820293 116.09999999999997 4.57883 5.32851 0.0726270775 109.49999999999997 4.58476 5.3276 0.0577670275 158.89999999999998 4.5893999999999995 5.329219999999999 0.058325497500000004 81.70000000000002 9.31483 9.87922 1.1201213325000001 84.59999999999997 6.3787 7.001989999999999 1.12057174 81.89999999999998 4.5894200000000005 5.32893 0.08039842999999999 85.29999999999998 4.59464 5.3319399999999995 0.06046003750000001 84.80000000000001 4.59441 5.32963 0.059050280000000004 138.60000000000002 4.60144 5.33295 0.061317395
7 116.70000000000002 10.66793 11.250630000000001 0.661418745 125.89999999999998 5.59978 6.27982 0.8815270824999999 123.9 4.5743 5.32773 0.079957505 130.09999999999997 4.574809999999999 5.32751 0.079202375 122.79999999999995 4.58102 5.32618 0.0572260925 179.2 4.58638 5.32796 0.057815815000000007 90.9 10.59984 11.16284 1.1238502149999998 93.9 6.13505 6.77045 1.1619148725 91.1 4.59041 5.3381799999999995 0.18157833750000002 94.79999999999998 4.5930800000000005 5.33112 0.059616064999999996 94.20000000000005 4.5917200000000005 5.3291699999999995 0.0592801525 155.10000000000002 4.6003 5.33226 0.06039991
8 129.60000000000002 5.03458 5.7672799999999995 1.1142674149999998 139.49999999999997 5.14174 5.85492 0.8507153424999999 137.4 4.56958 5.325279999999999 0.078851255 144.09999999999997 4.57069 5.32663 0.07699974 136.29999999999998 4.57704 5.32492 0.056535005000000006 199.79999999999998 4.58318 5.32666 0.0572607025 100.1 9.36157 9.92661 1.1144548975 103.29999999999998 6.2542100000000005 6.87866 1.165036605 100.19999999999999 4.58597 5.3348700000000004 0.15485966250000002 104.39999999999998 4.59154 5.3304 0.059091067500000004 103.50000000000003 4.59045 5.32836 0.0583943275 171.60000000000002 4.5991800000000005 5.33167 0.05985306
9 142.39999999999998 10.46737 11.05396 0.5724978575 153.2 5.2585 5.96527 0.9670599300000001 150.79999999999998 4.56489 5.324260000000001 0.09220119 158.29999999999995 4.56618 5.32527 0.07168561 149.89999999999998 4.57202 5.3232099999999996 0.060812107500000004 220.2 4.57979 5.32549 0.0567703675 109.39999999999998 10.48622 11.05009 1.1188925425 112.69999999999999 5.8929100000000005 6.53731 1.148042075 109.39999999999998 4.57765 5.32377 0.05784361 113.69999999999996 4.59002 5.32976 0.058729207500000005 113.10000000000002 4.57834 5.317489999999999 0.0561163475 188.80000000000004 4.59807 5.33111 0.0594987
